App_Name,rating,date,variation,text,feedback,predicted_sentiment
Alexa,5,31-Jul-18,Charcoal Fabric ,love echo,1,positive
Alexa,5,31-Jul-18,Charcoal Fabric ,loved,1,positive
Alexa,4,31-Jul-18,Walnut Finish ,sometimes playing game answer question correctly alexa says got wrong answers like able turn lights away home,1,positive
Alexa,5,31-Jul-18,Charcoal Fabric ,lot fun thing 4 yr old learns dinosaurs control lights play games like categories nice sound playing music well,1,positive
Alexa,5,31-Jul-18,Charcoal Fabric ,music,1,positive
Alexa,5,31-Jul-18,Heather Gray Fabric ,received echo gift needed another bluetooth something play music easily accessible found smart speaker ’ wait see else,1,positive
Alexa,3,31-Jul-18,Sandstone Fabric ,without cellphone use many features ipad see use great alarm u r almost deaf hear alarm bedroom living room reason enough keep herit fun ask random questions hear response seem smartbon politics yet,1,positive
Alexa,5,31-Jul-18,Charcoal Fabric ,think 5th one ive purchased im working getting one every room house really like features offer specifily playing music echos controlling lights throughout house,1,positive
Alexa,5,30-Jul-18,Heather Gray Fabric ,looks great,1,positive
Alexa,5,30-Jul-18,Heather Gray Fabric ,love ’ listened songs ’ heard since childhood get news weather information ’ great,1,positive
Alexa,5,30-Jul-18,Charcoal Fabric ,sent 85 year old dad talks constantly,1,positive
Alexa,5,30-Jul-18,Charcoal Fabric ,love learning knew things eveyday still figuring everything works far easy use understand make laugh times,1,positive
Alexa,5,30-Jul-18,Oak Finish ,purchased mother knee problems give something trying come getting around fast like didshe enjoys little big things doalexa play song time cook,1,positive
Alexa,5,30-Jul-18,Charcoal Fabric ,love love love,1,positive
Alexa,5,30-Jul-18,Oak Finish ,expected,1,positive
Alexa,5,30-Jul-18,Heather Gray Fabric ,love wife hates,1,positive
Alexa,5,30-Jul-18,Heather Gray Fabric ,really happy purchase great speaker easy set,1,positive
Alexa,5,30-Jul-18,Heather Gray Fabric ,using alexa couple days lot fun new toy like new household member trying learn different featues benefits come,1,positive
Alexa,5,30-Jul-18,Charcoal Fabric ,love size 2nd generation echo still needs little improvement sound,1,positive
Alexa,4,30-Jul-18,Sandstone Fabric ,liked original echo shorter greater fabriccolor choices miss volume ring top plusminus buttons big deal ring w comforting well like use standard usb charger port instead previous round pin guess sounds seems work still answers alexaechocomputer whats like,1,positive
Alexa,5,30-Jul-18,Charcoal Fabric ,love echo good music sounds playing alexa understands commands difficult times find specific playlists songs spotify good amazon music lacking major programs,1,positive
Alexa,5,30-Jul-18,Charcoal Fabric ,love alexa use play music play radio itunes play podcasts anypod set reminders listen flash briefing news weather every morning rely custom lists like able voice control volume sure well continue find new usessometimes bit frustrating alexa doesnt understand saying,1,positive
Alexa,4,30-Jul-18,Heather Gray Fabric ,set days still adding smart home devices speaker great playing music like size stationed kitchen counter ’ intrusive look,1,positive
Alexa,5,30-Jul-18,Charcoal Fabric ,love plays sleep sounds immediately ask,1,positive
Alexa,3,30-Jul-18,Sandstone Fabric ,got second unit bedroom expecting sounds improved didnt really see difference overall big improvement 1st generation,1,positive
Alexa,5,30-Jul-18,Sandstone Fabric ,amazing product,1,positive
Alexa,5,30-Jul-18,Charcoal Fabric ,love echo easy operate loads funit everything advertised use mainly play favorite tunes test alexas knowledge,1,positive
Alexa,5,30-Jul-18,Charcoal Fabric ,sounds great love,1,positive
Alexa,4,30-Jul-18,Charcoal Fabric ,fun item play get used using sometimes hard time answering questions ask think better,1,positive
Alexa,5,30-Jul-18,Charcoal Fabric ,like one,1,positive
Alexa,5,30-Jul-18,Sandstone Fabric ,still learning capabilitiesbut far pretty pretty pretty good,1,positive
Alexa,4,30-Jul-18,Charcoal Fabric ,like,1,positive
Alexa,5,30-Jul-18,Sandstone Fabric ,works well needs learning command unique owners users like alexa “ learn ” tasha ’ birthday alexa “ learn ” definition fine etc great,1,positive
Alexa,3,30-Jul-18,Heather Gray Fabric ,speakers sound pretty good small setup pretty easy bought two reason rate 3 followed instructions synching music units know ive done correctly wont sync primary motivation purchasing multiple units,1,positive
Alexa,5,30-Jul-18,Charcoal Fabric ,device awesome,1,positive
